Yoruba004 NA18501 0 0 1 0
Yoruba004 NA18502 0 0 2 0
Yoruba005 NA18503 NA18504 NA18505 1 0
Yoruba005 NA18504 0 0 1 0
Yoruba005 NA18505 0 0 2 0
Yoruba009 NA18506 NA18507 NA18508 1 0
Yoruba009 NA18507 0 0 1 0
Yoruba009 NA18508 0 0 2 0
Yoruba012 NA18860 NA18859 NA18858 1 0
Yoruba012 NA18859 0 0 1 0
Yoruba012 NA18858 0 0 2 0
Yoruba013 NA18515 NA18516 NA18517 1 0
Yoruba013 NA18516 0 0 1 0
Yoruba013 NA18517 0 0 2 0
Yoruba016 NA18521 NA18522 NA18523 1 0
Yoruba016 NA18522 0 0 1 0
Yoruba016 NA18523 0 0 2 0
Yoruba017 NA18872 NA18871 NA18870 1 0
Yoruba017 NA18871 0 0 1 0
Yoruba017 NA18870 0 0 2 0
Yoruba018 NA18854 NA18853 NA18852 1 0
Yoruba018 NA18853 0 0 1 0
Yoruba018 NA18852 0 0 2 0
Yoruba023 NA18857 NA18856 NA18855 1 0
Yoruba023 NA18856 0 0 1 0
Yoruba023 NA18855 0 0 2 0
Yoruba024 NA18863 NA18862 NA18861 1 0
Yoruba024 NA18862 0 0 1 0
Yoruba024 NA18861 0 0 2 0
Yoruba028 NA18914 NA18913 NA18912 1 0
Yoruba028 NA18913 0 0 1 0
Yoruba028 NA18912 0 0 2 0
Yoruba040 NA19094 NA19092 NA19093 2 0
Yoruba040 NA19092 0 0 1 0
Yoruba040 NA19093 0 0 2 0
Yoruba042 NA19103 NA19101 NA19102 1 0
Yoruba042 NA19101 0 0 1 0
Yoruba042 NA19102 0 0 2 0
Yoruba043 NA19139 NA19138 NA19137 1 0
Yoruba043 NA19138 0 0 1 0
Yoruba043 NA19137 0 0 2 0
Yoruba045 NA19202 NA19200 NA19201 2 0
Yoruba045 NA19200 0 0 1 0
Yoruba045 NA19201 0 0 2 0
Yoruba047 NA19173 NA19171 NA19172 1 0
Yoruba047 NA19171 0 0 1 0
Yoruba047 NA19172 0 0 2 0
Yoruba048 NA19205 NA19203 NA19204 1 0
Yoruba048 NA19203 0 0 1 0
Yoruba048 NA19204 0 0 2 0
Yoruba050 NA19211 NA19210 NA19209 1 0
Yoruba050 NA19210 0 0 1 0
Yoruba050 NA19209 0 0 2 0
Yoruba051 NA19208 NA19207 NA19206 1 0
Yoruba051 NA19207 0 0 1 0
Yoruba051 NA19206 0 0 2 0
Yoruba056 NA19161 NA19160 NA19159 1 0
Yoruba056 NA19160 0 0 1 0
Yoruba056 NA19159 0 0 2 0
Yoruba058 NA19221 NA19223 NA19222 2 0
Yoruba058 NA19223 0 0 1 0
Yoruba058 NA19222 0 0 2 0
Yoruba060 NA19120 NA19119 NA19116 1 0
Yoruba060 NA19119 0 0 1 0
Yoruba060 NA19116 0 0 2 0
Yoruba071 NA19142 NA19141 NA19140 1 0
Yoruba071 NA19141 0 0 1 0
Yoruba071 NA19140 0 0 2 0
Yoruba072 NA19154 NA19153 NA19152 1 0
Yoruba072 NA19153 0 0 1 0
Yoruba072 NA19152 0 0 2 0
Yoruba074 NA19145 NA19144 NA19143 1 0
Yoruba074 NA19144 0 0 1 0
Yoruba074 NA19143 0 0 2 0
Yoruba077 NA19129 NA19128 NA19127 2 0
Yoruba077 NA19128 0 0 1 0
Yoruba077 NA19127 0 0 2 0
Yoruba101 NA19132 NA19130 NA19131 2 0
Yoruba101 NA19130 0 0 1 0
Yoruba101 NA19131 0 0 2 0
Yoruba105 NA19100 NA19098 NA19099 2 0
Yoruba105 NA19098 0 0 1 0
Yoruba105 NA19099 0 0 2 0
Yoruba112 NA19194 NA19192 NA19193 1 0
Yoruba112 NA19192 0 0 1 0
Yoruba112 NA19193 0 0 2 0
Yoruba117 NA19240 NA19239 NA19238 2 0
Yoruba117 NA19239 0 0 1 0
Yoruba117 NA19238 0 0 2 0
NA10844 NA10844 0 0 2 0
NA17134 NA17134 0 0 2 0
NA17115 NA17115 0 0 1 0
NA12560 NA12560 0 0 1 0
NA17137 NA17137 0 0 2 0
NA17747 NA17747 0 0 2 0
NA12547 NA12547 0 0 1 0
NA17138 NA17138 0 0 2 0
NA17116 NA17116 0 0 2 0
NA17753 NA17753 0 0 1 0
NA17102 NA17102 0 0 1 0
NA10858 NA10858 0 0 1 0
NA17106 NA17106 0 0 1 0
NA17114 NA17114 0 0 1 0
NA12548 NA12548 0 0 2 0
NA17109 NA17109 0 0 1 0
NA17740 NA17740 0 0 2 0
NA17139 NA17139 0 0 2 0
NA07349 NA07349 0 0 1 0
NA17761 NA17761 0 0 2 0
NA10853 NA10853 0 0 2 0
NA17737 NA17737 0 0 1 0
NA17744 NA17744 0 0 2 0
